customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
EEFFC2B3-CD,Male,0,No,Yes,63,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),30.57,1925.91,Yes
6C5BD52E-CD,Female,1,Yes,Yes,34,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),87.38,2970.92,Yes
A79BFF08-EF,Female,0,No,No,5,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Electronic check,26.01,130.05,Yes
A2E127AE-EF,Female,0,Yes,Yes,32,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,Yes,Electronic check,41.43,1325.76,Yes
0584F0BF-CD,Female,0,No,No,50,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),116.64,5832.0,Yes
8C1A0A21-GH,Male,1,Yes,No,35,No,No phone service,DSL,No,No,No,No,No,Yes,One year,No,Mailed check,30.65,1072.75,Yes
3B0E2AAD-AB,Female,1,No,Yes,48,No,No phone service,Fiber optic,Yes,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),35.46,1702.08,Yes
E6824B8F-CD,Male,0,Yes,Yes,72,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,No,Credit card (automatic),42.28,3044.16,Yes
705F2F8C-AB,Female,0,No,Yes,43,No,No phone service,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,95.52,4107.36,Yes
7FE3B0E9-EF,Male,1,No,Yes,11,No,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),89.05,979.55,No
58518AE5-AB,Male,1,No,Yes,67,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),110.2,7383.4,Yes
41CEF5F8-CD,Female,1,Yes,Yes,39,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),56.41,2199.99,No
33B879B5-GH,Male,1,Yes,No,56,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),116.04,6498.24,No
3779907B-EF,Female,0,No,No,39,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,One year,No,Electronic check,117.27,4573.53,Yes
1AF92F30-AB,Male,0,Yes,No,42,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,103.58,4350.36,No
4A53B12A-GH,Male,0,No,No,61,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Two year,No,Credit card (automatic),73.83,4503.63,No
CEDBBD2B-EF,Female,1,Yes,Yes,35,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),50.18,1756.3,No
BBF78AAB-AB,Female,0,No,No,22,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),68.87,1515.14,No
1668ED6F-EF,Male,1,Yes,Yes,34,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,One year,Yes,Mailed check,69.26,2354.84,No
50B9F13F-EF,Female,0,No,Yes,40,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),39.72,1588.8,No
E8F1EED6-AB,Female,0,Yes,Yes,1,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),81.78,81.78,No
E0EB30E8-CD,Female,0,No,Yes,40,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),86.42,3456.8,Yes
7C83AEF2-GH,Male,1,No,Yes,43,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Two year,No,Credit card (automatic),19.79,850.97,Yes
CE72016B-AB,Female,0,Yes,Yes,47,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),105.88,4976.36,Yes
56F057D2-AB,Male,0,Yes,Yes,26,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Two year,Yes,Electronic check,27.35,711.1,Yes
4C1F5F08-AB,Male,1,No,Yes,61,No,No phone service,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,19.37,1181.57,Yes
9081BE82-CD,Male,1,Yes,Yes,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,88.78,1331.7,Yes
A11EEF00-EF,Female,1,Yes,No,56,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,44.55,2494.8,Yes
4AC273BB-EF,Female,0,Yes,No,57,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),85.64,4881.48,Yes
48A29845-CD,Male,0,Yes,No,43,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),31.65,1360.95,Yes
C53E9ED7-CD,Male,1,No,No,8,No,No phone service,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,No,Bank transfer (automatic),105.29,842.32,Yes
A478F5F0-CD,Male,0,No,Yes,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),97.38,5550.66,No
F260C055-CD,Male,1,Yes,Yes,32,No,No phone service,Fiber optic,No,No,No,No,Yes,No,One year,No,Mailed check,111.15,3556.8,Yes
FF093833-CD,Female,0,No,Yes,4,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,91.9,367.6,No
FCB9EDA8-GH,Female,1,Yes,Yes,39,No,No phone service,DSL,No,No,No,No,No,Yes,Two year,No,Electronic check,51.91,2024.49,No
AC41EC55-GH,Male,0,No,No,61,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,Yes,Mailed check,41.09,2506.49,Yes
F5CAF496-AB,Male,0,No,No,43,No,No phone service,Fiber optic,Yes,No,No,No,Yes,No,One year,No,Mailed check,29.81,1281.83,Yes
F0794330-AB,Female,1,Yes,No,22,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,100.01,2200.22,No
3E2ADAD7-CD,Female,0,Yes,Yes,13,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,71.15,924.95,No
83C529C2-EF,Female,1,No,Yes,60,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),47.14,2828.4,Yes
3F75C275-CD,Male,0,Yes,No,0,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),69.41,0.0,Yes
9154CA4B-GH,Male,0,Yes,No,68,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,No,Electronic check,33.91,2305.88,Yes
69F7B671-GH,Male,0,No,Yes,55,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,Two year,No,Electronic check,44.8,2464.0,No
795CFC8D-CD,Male,1,Yes,No,63,No,No phone service,DSL,Yes,Yes,No,Yes,No,No,Two year,No,Credit card (automatic),38.07,2398.41,Yes
85A664C5-AB,Female,0,Yes,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),97.58,2439.5,Yes
5DC98155-EF,Female,1,Yes,Yes,39,No,No phone service,DSL,No,Yes,No,No,No,Yes,One year,No,Credit card (automatic),113.06,4409.34,No
3434ABC7-EF,Male,0,No,Yes,33,No,No phone service,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),37.62,1241.46,No
00768962-CD,Male,1,Yes,Yes,27,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),88.49,2389.23,Yes
2C4682E0-AB,Male,0,No,No,64,No,No phone service,Fiber optic,No,No,No,No,No,No,One year,No,Credit card (automatic),81.87,5239.68,No
E1D1AB52-AB,Female,0,Yes,No,28,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,117.77,3297.56,Yes
9DB3B206-GH,Male,0,No,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,45.24,180.96,Yes
B90534E4-AB,Female,1,Yes,No,24,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),44.97,1079.28,Yes
740CF39B-CD,Male,0,Yes,No,55,No,No phone service,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),23.76,1306.8,Yes
34054D19-AB,Female,1,No,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,39.43,433.73,Yes
249ED75E-CD,Male,1,No,No,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,27.15,271.5,No
83696C1F-AB,Female,0,No,Yes,24,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),57.81,1387.44,No
8FF136A2-CD,Male,0,No,Yes,51,Yes,Yes,DSL,Yes,No,Yes,No,No,No,One year,Yes,Mailed check,108.04,5510.04,Yes
054640E0-EF,Female,0,No,Yes,6,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,82.44,494.64,Yes
BC81C29B-GH,Female,1,Yes,Yes,44,No,No phone service,Fiber optic,No,No,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),26.03,1145.32,Yes
C2BFA71C-EF,Male,1,No,Yes,43,No,No phone service,DSL,No,No,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),23.62,1015.66,Yes
88F4BE80-CD,Male,0,No,Yes,3,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,One year,Yes,Mailed check,46.92,140.76,Yes
976BAF05-GH,Female,0,Yes,No,60,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),36.74,2204.4,No
32FCAB94-EF,Female,1,No,No,35,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,115.62,4046.7,Yes
C1C4DF65-CD,Female,0,No,Yes,50,No,No phone service,DSL,No,No,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),117.24,5862.0,Yes
527C6B7C-EF,Male,1,No,No,39,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Electronic check,58.89,2296.71,No
1A40265B-AB,Female,1,Yes,Yes,72,No,No phone service,DSL,Yes,Yes,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),79.91,5753.52,Yes
C33BA126-EF,Male,0,Yes,No,18,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,46.4,835.2,No
5581572C-EF,Female,1,Yes,Yes,61,No,No phone service,DSL,Yes,Yes,No,Yes,Yes,No,One year,No,Bank transfer (automatic),111.06,6774.66,No
8D9640B8-GH,Male,1,Yes,No,5,No,No phone service,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,31.93,159.65,No
8BBE00A6-CD,Female,1,Yes,Yes,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,111.37,3786.58,No
DBE7640C-EF,Male,1,No,Yes,4,Yes,Yes,DSL,No,No,No,No,Yes,No,Two year,No,Credit card (automatic),53.62,214.48,No
6E1E509F-GH,Male,1,No,No,42,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),27.94,1173.48,Yes
6FFEC03B-AB,Male,0,Yes,Yes,59,No,No phone service,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,32.37,1909.83,No
7D1EFC82-CD,Male,1,No,No,29,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),34.0,986.0,Yes
0D8E120F-GH,Female,0,Yes,No,52,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),68.23,3547.96,No
CD424226-EF,Male,0,No,No,56,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Credit card (automatic),56.4,3158.4,No
04C5A151-CD,Male,0,No,No,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),62.46,2748.24,Yes
7998475A-CD,Male,1,Yes,No,39,No,No phone service,DSL,Yes,Yes,Yes,No,No,Yes,One year,No,Mailed check,115.61,4508.79,No
3CB4FFE0-CD,Male,0,No,Yes,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Mailed check,75.08,4880.2,Yes
8A3C72FD-CD,Female,0,No,No,52,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,35.81,1862.12,No
58E8327C-EF,Female,1,Yes,Yes,48,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,92.36,4433.28,No
771EC23F-GH,Female,1,Yes,Yes,22,No,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,67.34,1481.48,Yes
89AA8BB6-GH,Male,1,Yes,No,65,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),107.16,6965.4,Yes
5599E816-AB,Female,1,No,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,22.77,546.48,No
B1755B18-EF,Male,0,Yes,No,60,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),102.15,6129.0,No
BBF0C403-AB,Male,0,No,No,38,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),64.16,2438.08,Yes
9DC9AB2B-GH,Female,0,No,No,45,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),44.65,2009.25,Yes
3A09FAEB-GH,Male,0,Yes,No,38,No,No phone service,Fiber optic,Yes,No,No,No,No,Yes,Two year,Yes,Mailed check,119.22,4530.36,Yes
A1F41171-EF,Female,1,No,No,46,Yes,Yes,DSL,Yes,No,No,Yes,No,No,One year,No,Credit card (automatic),107.85,4961.1,Yes
F8333FED-EF,Male,1,No,Yes,19,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,28.07,533.33,No
